m0:24uM_M0:0_L0:10000 X	m0:24uM_M0:0_L0:10000 Y
2456.606435	-0.024607321
15387.11628	-0.007150273
25085.67878	0.010139321
33973.53396	0.010599819
42053.4023	0.011018453
52562.67213	0.045137145
63069.22147	0.062468602
71976.1201	0.180439733
80874.85726	0.248049164
90587.02223	0.349274925
101107.174	0.45054255
108392.658	0.534855487
116488.8493	0.635997522
123771.6128	0.703523226
134286.3236	0.771216384
146425.1696	0.889354968
155321.1863	0.940177166
171489.0844	0.991376134
180379.6601	1.008623866
